year,league,kind,date,time,home,homescore,awayscore,away,stadium,viewers,broadcasts
2021,Ｊ１,第８節第１日,04/06,19:03,横浜FM,1,0,Ｃ大阪,日産ス,7980,ＤＡＺＮ
2021,Ｊ１,第８節第２日,04/07,19:01,鹿島,2,1,柏,カシマ,4550,ＤＡＺＮ／ＮＨＫ　ＢＳ１
2021,Ｊ１,第８節第２日,04/07,19:02,清水,0,2,浦和,アイスタ,5548,ＤＡＺＮ
2021,Ｊ１,第８節第２日,04/07,19:03,川崎Ｆ,1,0,鳥栖,等々力,9173,ＤＡＺＮ
2021,Ｊ１,第８節第２日,04/07,19:03,横浜FC,0,3,広島,ニッパツ,1899,ＤＡＺＮ
2021,Ｊ１,第８節第２日,04/07,19:03,湘南,0,0,名古屋,レモンＳ,5285,ＤＡＺＮ
2021,Ｊ１,第８節第２日,04/07,19:03,Ｇ大阪,0,0,福岡,パナスタ,5604,ＤＡＺＮ
2021,Ｊ１,第８節第２日,04/07,19:03,神戸,1,0,大分,ノエスタ,5180,ＤＡＺＮ
2021,Ｊ１,第８節第２日,04/07,19:03,徳島,1,0,仙台,鳴門大塚,3515,ＤＡＺＮ
2021,Ｊ１,第８節第２日,04/07,19:03,FC東京,2,1,札幌,味スタ,6236,ＤＡＺＮ
